latitude,longitude,mag,latlon
32.298,104.766,4.9,"104.766,32.298"
32.343,105.154,4.6,"105.154,32.343"
32.843,105.585,4.8,"105.585,32.843"
31.959,104.881,4.7,"104.881,31.959"
31.930999999999997,104.42299999999999,4.9,"104.42299999999999,31.930999999999997"
31.217,103.76,4.5,"103.76,31.217"
31.18,103.723,4.8,"103.723,31.18"
31.66,104.214,5.1,"104.214,31.66"
31.266,103.67299999999999,4.7,"103.67299999999999,31.266"
31.428,103.947,4.6,"103.947,31.428"
31.343000000000004,103.81,4.5,"103.81,31.343000000000004"
32.455,105.139,4.5,"105.139,32.455"
31.747,104.148,4.6,"104.148,31.747"
32.137,104.93299999999999,4.6,"104.93299999999999,32.137"
32.369,105.12200000000001,4.8,"105.12200000000001,32.369"
31.355999999999998,104.014,5.1,"104.014,31.355999999999998"
31.503,104.193,4.5,"104.193,31.503"
30.927,103.594,4.6,"103.594,30.927"
31.201,103.959,4.8,"103.959,31.201"
31.223000000000003,103.819,4.6,"103.819,31.223000000000003"
31.996,104.03200000000001,5.1,"104.03200000000001,31.996"
31.741,104.36,4.6,"104.36,31.741"
31.325,103.51799999999999,5.4,"103.51799999999999,31.325"
31.206999999999997,103.805,4.5,"103.805,31.206999999999997"
30.927,103.478,4.5,"103.478,30.927"
28.451,104.15899999999999,4.5,"104.15899999999999,28.451"
31.303,103.836,4.6,"103.836,31.303"
31.579,104.296,4.5,"104.296,31.579"
30.965,103.431,4.7,"103.431,30.965"
31.034000000000002,103.573,4.5,"103.573,31.034000000000002"
31.734,104.415,4.8,"104.415,31.734"
31.303,103.815,4.5,"103.815,31.303"
31.677,104.141,4.5,"104.141,31.677"
31.156999999999996,103.693,4.6,"103.693,31.156999999999996"
31.249000000000002,103.96,4.5,"103.96,31.249000000000002"
32.33,105.164,4.9,"105.164,32.33"
32.535,105.40700000000001,4.6,"105.40700000000001,32.535"
32.254,105.29700000000001,4.9,"105.29700000000001,32.254"
31.643,104.166,4.5,"104.166,31.643"
31.133000000000003,103.568,4.9,"103.568,31.133000000000003"
31.732,104.41799999999999,4.9,"104.41799999999999,31.732"
31.829,104.52,4.6,"104.52,31.829"
31.37,103.962,4.9,"103.962,31.37"
32.275,105.03200000000001,4.9,"105.03200000000001,32.275"
32.416,105.275,5.0,"105.275,32.416"
30.89,103.194,5.8,"103.194,30.89"
31.474,104.124,4.6,"104.124,31.474"
31.315,103.795,4.5,"103.795,31.315"
32.609,105.425,4.6,"105.425,32.609"
32.524,105.289,4.5,"105.289,32.524"
31.788,104.531,4.6,"104.531,31.788"
31.444000000000003,103.936,4.5,"103.936,31.444000000000003"
31.239,103.93299999999999,4.5,"103.93299999999999,31.239"
31.205,103.682,5.0,"103.682,31.205"
31.073,103.54,4.5,"103.54,31.073"
31.805,104.588,4.8,"104.588,31.805"
