latitude,longitude,mag,latlon
16.1588,-98.4726,4.5,"-98.4726,16.1588"
18.529,-72.767,4.6,"-72.767,18.529"
-61.27,154.243,4.6,"154.243,-61.27"
47.17100000000001,155.588,4.9,"155.588,47.17100000000001"
32.672,76.601,4.9,"76.601,32.672"
52.245,160.279,4.8,"160.279,52.245"
-56.1084,-27.6124,4.6,"-27.6124,-56.1084"
-5.3608,152.6235,4.8,"152.6235,-5.3608"
-31.9247,-71.9765,4.6,"-71.9765,-31.9247"
-23.686,179.87099999999995,5.3,"179.87099999999995,-23.686"
-6.586,153.6992,4.7,"153.6992,-6.586"
-15.4391,-174.49599999999995,4.6,"-174.49599999999995,-15.4391"
45.2973,150.2405,4.6,"150.2405,45.2973"
-20.75,168.583,4.6,"168.583,-20.75"
-2.8025,-79.7882,4.5,"-79.7882,-2.8025"
-32.935,-178.65,5.5,"-178.65,-32.935"
-15.0841,-173.4612,4.6,"-173.4612,-15.0841"
4.1160000000000005,126.7151,4.6,"126.7151,4.1160000000000005"
-5.7619,146.9952,4.5,"146.9952,-5.7619"
-14.074000000000002,166.239,4.5,"166.239,-14.074000000000002"
-22.251,-174.22799999999995,4.6,"-174.22799999999995,-22.251"
0.785,124.112,4.8,"124.112,0.785"
28.944000000000006,143.499,4.7,"143.499,28.944000000000006"
-41.635,84.95700000000002,5.2,"84.95700000000002,-41.635"
-1.169,-24.134,4.8,"-24.134,-1.169"
34.4157,45.7209,5.2,"45.7209,34.4157"
36.223,71.10300000000002,4.9,"71.10300000000002,36.223"
36.673,140.795,5.1,"140.795,36.673"
31.8161,50.597,5.0,"50.597,31.8161"
33.087,75.709,4.7,"75.709,33.087"
-7.222,155.007,5.4,"155.007,-7.222"
-26.4841,27.5558,4.8,"27.5558,-26.4841"
54.019,160.476,4.5,"160.476,54.019"
-30.791,-71.304,4.9,"-71.304,-30.791"
14.9538,120.5149,6.1,"120.5149,14.9538"
-3.7239,151.2112,4.9,"151.2112,-3.7239"
16.937,147.403,4.6,"147.403,16.937"
2.294,126.807,4.9,"126.807,2.294"
47.31100000000001,155.616,5.0,"155.616,47.31100000000001"
-4.208,152.536,4.7,"152.536,-4.208"
22.1646,121.465,4.7,"121.465,22.1646"
12.78,126.019,4.8,"126.019,12.78"
42.187,83.815,4.7,"83.815,42.187"
-19.999,168.14,4.6,"168.14,-19.999"
11.8697,46.2552,4.6,"46.2552,11.8697"
-30.7227,-71.3904,5.7,"-71.3904,-30.7227"
3.559,126.651,4.5,"126.651,3.559"
-21.2361,168.9614,5.7,"168.9614,-21.2361"
85.8547,25.3721,4.5,"25.3721,85.8547"
-21.823,-176.59799999999996,4.9,"-176.59799999999996,-21.823"
-56.645,-150.753,4.5,"-150.753,-56.645"
-63.2152,169.3469,4.5,"169.3469,-63.2152"
-0.1974,-17.4772,4.7,"-17.4772,-0.1974"
20.827,120.11,4.6,"120.11,20.827"
-2.647,128.734,4.5,"128.734,-2.647"
-10.008,108.676,5.0,"108.676,-10.008"
52.6662,-174.5198,4.6,"-174.5198,52.6662"
36.6476,71.5463,5.0,"71.5463,36.6476"
15.098,-93.059,4.5,"-93.059,15.098"
-7.6715,127.5633,4.5,"127.5633,-7.6715"
-7.2856,155.5224,4.8,"155.5224,-7.2856"
-11.07,165.27200000000005,4.9,"165.27200000000005,-11.07"
37.017,27.804,5.5,"27.804,37.017"
40.758,31.219,4.5,"31.219,40.758"
-19.092,169.637,4.6,"169.637,-19.092"
-33.1872,-69.6605,4.7,"-69.6605,-33.1872"
-30.2971,-71.3616,4.8,"-71.3616,-30.2971"
-43.4162,-74.0672,4.8,"-74.0672,-43.4162"
-9.0829,114.8224,5.1,"114.8224,-9.0829"
-51.434,140.14700000000002,4.5,"140.14700000000002,-51.434"
-6.175,147.504,5.0,"147.504,-6.175"
-6.8285,125.0416,6.3,"125.0416,-6.8285"
-4.7165,152.0859,4.5,"152.0859,-4.7165"
68.831,-16.423,4.5,"-16.423,68.831"
-44.715,-79.75399999999998,5.2,"-79.75399999999998,-44.715"
-17.778,167.851,4.5,"167.851,-17.778"
-2.908,152.12,4.8,"152.12,-2.908"
24.5723,127.7098,4.5,"127.7098,24.5723"
36.797,140.372,5.0,"140.372,36.797"
24.111,126.282,4.6,"126.282,24.111"
4.945,125.893,4.5,"125.893,4.945"
-3.7043,153.1652,4.7,"153.1652,-3.7043"
-17.543,-72.077,7.6,"-72.077,-17.543"
62.4432,-25.7789,4.8,"-25.7789,62.4432"
4.308,125.567,4.9,"125.567,4.308"
46.988,152.826,4.8,"152.826,46.988"
-22.412,169.614,4.9,"169.614,-22.412"
40.741,29.97,5.0,"29.97,40.741"
-18.6007,-175.3952,5.6,"-175.3952,-18.6007"
1.256,97.201,4.6,"97.201,1.256"
52.157,178.05200000000005,5.7,"178.05200000000005,52.157"
12.614,-89.189,4.8,"-89.189,12.614"
3.966,126.657,4.8,"126.657,3.966"
-17.239,178.331,7.3,"178.331,-17.239"
27.8892,57.5886,4.8,"57.5886,27.8892"
-15.12,66.876,4.5,"66.876,-15.12"
34.5749,140.4045,4.7,"140.4045,34.5749"
3.1336,-31.302,5.5,"-31.302,3.1336"
-0.8440000000000001,134.13299999999998,5.8,"134.13299999999998,-0.8440000000000001"
53.587,161.7672,4.5,"161.7672,53.587"
-19.9575,-70.7079,4.5,"-70.7079,-19.9575"
52.496,158.954,4.8,"158.954,52.496"
12.159,125.336,4.5,"125.336,12.159"
-52.679,25.895,4.5,"25.895,-52.679"
37.579,141.406,5.3,"141.406,37.579"
-37.3,177.33,4.6,"177.33,-37.3"
12.715,-88.402,4.7,"-88.402,12.715"
0.413,126.08,5.1,"126.08,0.413"
13.0515,51.2188,4.5,"51.2188,13.0515"
-3.745,151.1851,4.7,"151.1851,-3.745"
-45.724,35.036,4.8,"35.036,-45.724"
-25.9832,-175.3211,4.5,"-175.3211,-25.9832"
-5.305,102.54,4.6,"102.54,-5.305"
31.0963,131.4255,4.5,"131.4255,31.0963"
34.748000000000005,73.183,4.7,"73.183,34.748000000000005"
-6.4039,154.7286,4.7,"154.7286,-6.4039"
-15.546,167.685,5.0,"167.685,-15.546"
0.5699,135.1321,4.5,"135.1321,0.5699"
-15.493,-70.577,4.9,"-70.577,-15.493"
41.96100000000001,139.335,4.6,"139.335,41.96100000000001"
-28.084,-70.813,4.6,"-70.813,-28.084"
36.99800000000001,140.47899999999998,4.5,"140.47899999999998,36.99800000000001"
-52.728,26.137,5.1,"26.137,-52.728"
-6.044,152.392,4.6,"152.392,-6.044"
-15.348,-173.373,5.3,"-173.373,-15.348"
43.3348,146.1094,5.0,"146.1094,43.3348"
3.248,92.88,4.6,"92.88,3.248"
