time,latitude,longitude,depth,mag,magType,id,place,type,status,region,influence
2011-08-20 16:55:02.810000+00:00,-18.365,168.143,32.0,7.2,mww,usp000j6r4,Vanuatu,earthquake,reviewed,Vanuatu,7.2
2011-07-06 19:03:18.260000+00:00,-29.539,-176.34,17.0,7.6,mww,usp000j48h,Kermadec Islands region,earthquake,reviewed,Kermadec Islands region,7.6
2006-05-16 10:39:23.340000+00:00,-31.81,-179.30700000000004,152.0,7.4,mwb,usp000eh87,Kermadec Islands region,earthquake,reviewed,Kermadec Islands region,7.4
2006-05-03 15:26:40.290000+00:00,-20.187,-174.123,55.0,8.0,mwc,usp000eg5g,Tonga,earthquake,reviewed,Tonga,8.0
2006-04-20 23:25:02.150000+00:00,60.949,167.08900000000003,22.0,7.6,mwc,usp000ef1h,"near the east coast of Koryakskiy Avtonomnyy Okrug, Russia",earthquake,reviewed,Russia,7.6
2006-01-27 16:58:53.670000+00:00,-5.473,128.131,397.0,7.6,mwc,usp000e8ys,Banda Sea,earthquake,reviewed,Banda Sea,7.6
2006-01-02 22:13:40.490000+00:00,-19.926,-178.178,582.9,7.2,mwc,usp000e7f0,Fiji region,earthquake,reviewed,Fiji region,7.2
2006-01-02 06:10:49.760000+00:00,-60.957,-21.606,13.0,7.4,mwc,usp000e7dd,east of the South Sandwich Islands,earthquake,reviewed,east of the South Sandwich Islands,8.4
2005-10-08 03:50:40.800000+00:00,34.539,73.58800000000002,26.0,7.6,mwc,usp000e12e,Pakistan,earthquake,reviewed,Pakistan,7.6
2005-09-26 01:55:37.670000+00:00,-5.678,-76.398,115.0,7.5,mwb,usp000e09h,northern Peru,earthquake,reviewed,northern Peru,7.5
2005-09-09 07:26:43.730000+00:00,-4.539,153.474,90.0,7.6,mwc,usp000dz2j,"New Ireland region, Papua New Guinea",earthquake,reviewed,Papua New Guinea,7.6
2005-08-16 02:46:28.400000+00:00,38.276,142.039,36.0,7.2,mwc,usp000dxe2,"near the east coast of Honshu, Japan",earthquake,reviewed,Japan,7.2
2005-07-24 15:42:06.210000+00:00,7.92,92.19,16.0,7.2,mwc,usp000dvtc,"Nicobar Islands, India region",earthquake,reviewed,India region,7.2
2000-06-18 14:44:13.310000+00:00,-13.802,97.453,10.0,7.9,mwc,usp0009ut0,South Indian Ocean,earthquake,reviewed,South Indian Ocean,8.9
2000-06-04 16:28:26.170000+00:00,-4.721,102.087,33.0,7.9,mwc,usp0009txv,"southern Sumatra, Indonesia",earthquake,reviewed,Indonesia,7.9
2000-05-12 18:43:18.120000+00:00,-23.548,-66.452,225.0,7.2,mwc,usp0009suu,"Jujuy, Argentina",earthquake,reviewed,Argentina,7.2
